Title,Price,Link
A Light in the Attic,£51.77,http://books.toscrape.comcatalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,£53.74,http://books.toscrape.comcatalogue/tipping-the-velvet_999/index.html
Soumission,£50.10,http://books.toscrape.comcatalogue/soumission_998/index.html
Sharp Objects,£47.82,http://books.toscrape.comcatalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,£54.23,http://books.toscrape.comcatalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,£22.65,http://books.toscrape.comcatalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,£33.34,http://books.toscrape.comcatalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,http://books.toscrape.comcatalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,http://books.toscrape.comcatalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,£52.15,http://books.toscrape.comcatalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,http://books.toscrape.comcatalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,£20.66,http://books.toscrape.comcatalogue/shakespeares-sonnets_989/index.html
Set Me Free,£17.46,http://books.toscrape.comcatalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,http://books.toscrape.comcatalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,£35.02,http://books.toscrape.comcatalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,http://books.toscrape.comcatalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,£23.88,http://books.toscrape.comcatalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,http://books.toscrape.comcatalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£51.33,http://books.toscrape.comcatalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£45.17,http://books.toscrape.comcatalogue/its-only-the-himalayas_981/index.html
